variable,value,name
Affiliation,The Dragon Reborn,Torean Andiama
Title,Lord,Torean Andiama
Rank,High Lord of Tear,Torean Andiama
Nationality,Taraboner,Andric
Date of death,1000 NE,Andric
Current status,Dead,Andric
Gender,Male,Andric
Hair,Graying,Andric
First appeared,TSR 38,Andric
Last appeared,TSR 38,Andric
Last mentioned,ACOS 26,Andric
Affiliation,Tarabon,Andric
Title,King of Tarabon,Andric
Rank,King,Andric
Nationality,Illianer,Andris
Date of death,999 NE,Andris
Current status,Dead,Andris
Gender,Male,Andris
Eyes,Dark,Andris
First appeared,LOC 16,Andris
Last appeared,LOC 16,Andris
Last mentioned,LOC 23,Andris
Affiliation,Sammael,Andris
Nationality,Unknown nationality,Andro
Date of death,979 NE,Andro
Current status,Dead,Andro
Gender,Male,Andro
Build,Lean,Andro
First appeared,NS 5,Andro
Last appeared,NS 5,Andro
Affiliation,White Tower,Andro
Occupation,Warder,Andro
Title,Gaidin,Andro
Nationality,Seanchan,Anghar
Current status,Alive,Anghar
Gender,Male,Anghar
First appeared,TPOD 23,Anghar
Last appeared,TPOD 23,Anghar
Occupation,Soldier,Anghar
Nationality,Unknown nationality,Ryn Anhara
Current status,Alive,Ryn Anhara
Gender,Male,Ryn Anhara
First mentioned,WH Prologue,Ryn Anhara
Last mentioned,WH Prologue,Ryn Anhara
Affiliation,School of Cairhien,Ryn Anhara
Occupation,Inventor,Ryn Anhara
Nationality,Unknown nationality,Petra Anhill
Current status,Alive,Petra Anhill
Gender,Male,Petra Anhill
Height,"Shorter than Mat, but twice as wide",Petra Anhill
Build,Huge,Petra Anhill
First appeared,TFOH 17,Petra Anhill
Last appeared,AMOL 11,Petra Anhill
Affiliation,Valan Luca,Petra Anhill
Occupation,Entertainer,Petra Anhill
Nationality,Unknown nationality,Anjen
Date of death,984 NE,Anjen
Current status,Dead,Anjen
Gender,Male,Anjen
First mentioned,LOC 30,Anjen
Last mentioned,LOC 30,Anjen
Occupation,Warder,Anjen
Title,Gaidin,Anjen
Nationality,Domani,Ankaer
Date of death,1000 NE,Ankaer
Current status,Dead,Ankaer
Gender,Male,Ankaer
Build,Lanky,Ankaer
First appeared,COT Prologue,Ankaer
Last appeared,TOM 21,Ankaer
Last mentioned,TOM 32,Ankaer
Affiliation,Dragon Reborn,Ankaer
Occupation,Soldier,Ankaer
Title,Lord,Ankaer
Rank,Lord,Ankaer
Nationality,Cairhienin,Dalthanes Annallin
Current status,Alive,Dalthanes Annallin
Gender,Male,Dalthanes Annallin
First appeared,TPOD 21,Dalthanes Annallin
Last appeared,TPOD 24,Dalthanes Annallin
Affiliation,Dragon Reborn,Dalthanes Annallin
Title,Lord,Dalthanes Annallin
Nationality,Cairhienin,Daricain Annallin
Current status,Alive,Daricain Annallin
Gender,Male,Daricain Annallin
Build,Slender,Daricain Annallin
Hair,Shaved,Daricain Annallin
First appeared,TFOH 30,Daricain Annallin
Last appeared,TFOH 30,Daricain Annallin
Occupation,Soldier,Daricain Annallin
Title,Lord,Daricain Annallin
Rank,Lieutenant,Daricain Annallin
Nationality,Unknown nationality,Anselan
Current status,Dead,Anselan
Gender,Male,Anselan
First mentioned,TFOH 24,Anselan
Last mentioned,TFOH 36,Anselan
Affiliation,White Tower,Anselan
Occupation,Warder,Anselan
Title,Gaidin,Anselan
Current status,Alive,Antail
Gender,Male,Antail
First appeared,TOM 24,Antail
Last appeared,AMOL 18,Antail
Affiliation,Rand al'Thor,Antail
Occupation,Asha'man,Antail
Rank,Asha'man,Antail
Nationality,Kandori,Antol
Date of birth,964 NE,Antol
Current status,Alive,Antol
Gender,Male,Antol
Height,Tall,Antol
First mentioned,NS 25,Antol
Last appeared,AMOL 7,Antol
Affiliation,Kandor,Antol
Title,Prince,Antol
Nationality,Arad Doman,Yilvas Antos
Current status,Alive,Yilvas Antos
Gender,Male,Yilvas Antos
First mentioned,The Wheel of Time Roleplaying Game,Yilvas Antos
Occupation,Merchant,Yilvas Antos
Title,Lord,Yilvas Antos
Nationality,Andoran,Ara
Current status,Alive,Ara
Gender,Male,Ara
Weight,Slight,Ara
Hair,Dark,Ara
First appeared,TEOTW 14,Ara
Last appeared,TEOTW 14,Ara
Occupation,Attendant,Ara
Nationality,Seanchan,Gueye Arabah
Current status,Alive,Gueye Arabah
Gender,Male,Gueye Arabah
First appeared,KOD 29,Gueye Arabah
Last appeared,KOD 29,Gueye Arabah
Rank,Lieutenant,Gueye Arabah
Nationality,Tairen,Aracome
Date of death,1000 NE,Aracome
Current status,Dead,Aracome
Gender,Male,Aracome
Build,Slender,Aracome
Hair,Graying,Aracome
First mentioned,TSR 21,Aracome
First appeared,TFOH 46,Aracome
Last appeared,TPOD 23,Aracome
Affiliation,The Dragon Reborn,Aracome
Title,High Lord of Tear,Aracome
Nationality,Manetheren,Arad
Current status,Dead,Arad
Gender,Male,Arad
First mentioned,TEOTW 18,Arad
Last mentioned,TEOTW 18,Arad
Nationality,Tuatha'an,Aram
Date of death,1000 NE,Aram
Current status,Dead,Aram
Gender,Male,Aram
Build,Slender,Aram
Eyes,Dark,Aram
First appeared,TEOTW 25,Aram
Last appeared,KOD 30,Aram
Last mentioned,AMOL 37,Aram
Affiliation,Masema Dagar,Aram
Date of birth,50 AB,Aran
Current status,Dead,Aran
Race,Ogier,Aran
Gender,Male,Aran
First mentioned,TWORJTWOT,Aran
Last mentioned,TWORJTWOT,Aran
Occupation,Author,Aran
Nationality,Amadicia,Jorin Arene
Current status,Alive,Jorin Arene
Gender,Male,Jorin Arene
First mentioned,TFOH 18,Jorin Arene
Last mentioned,TFOH 18,Jorin Arene
Affiliation,Darkfriend,Jorin Arene
Occupation,Merchant,Jorin Arene
Current status,Alive,Arent
Race,Ogier,Arent
Gender,Male,Arent
First mentioned,TEOTW 36,Arent
Last mentioned,AMOL 16,Arent
Title,Elder,Arent
Rank,Elder,Arent
Nationality,Ghealdanin,Gerard Arganda
Current status,Alive,Gerard Arganda
Gender,Male,Gerard Arganda
Height,Short,Gerard Arganda
Build,Squat,Gerard Arganda
Hair,Graying,Gerard Arganda
Eyes,Dark,Gerard Arganda
First appeared,WH 2,Gerard Arganda
Last appeared,AMOL 39,Gerard Arganda
Affiliation,Perrin Aybara,Gerard Arganda
Occupation,Soldier,Gerard Arganda
Rank,First Captain,Gerard Arganda
Current status,Dead,Aried
Race,Ogier,Aried
Gender,Male,Aried
First mentioned,LOC 50,Aried
Last mentioned,LOC 50,Aried
Nationality,Andoran,Arin
Current status,Alive,Arin
Gender,Male,Arin
First appeared,TEOTW 17,Arin
Last appeared,TEOTW 17,Arin
Occupation,Watchman,Arin
Nationality,Cairhienin,Arinvar
Current status,Alive,Arinvar
Gender,Male,Arinvar
Height,Short,Arinvar
Build,Slender,Arinvar
Hair,Graying,Arinvar
First appeared,TFOH 27,Arinvar
Last appeared,KOD 1,Arinvar
Last mentioned,TGS 43,Arinvar
Affiliation,White Tower,Arinvar
Occupation,Warder,Arinvar
Title,Gaidin,Arinvar
Nationality,Tairen,Cieryl Arjuna
Date of death,1000 NE,Cieryl Arjuna
Current status,Dead,Cieryl Arjuna
Gender,Male,Cieryl Arjuna
Height,Tall,Cieryl Arjuna
Build,Gangly,Cieryl Arjuna
First appeared,TPOD 1,Cieryl Arjuna
Last appeared,KOD 32,Cieryl Arjuna
Affiliation,Rebel Aes Sedai,Cieryl Arjuna
Occupation,Warder,Cieryl Arjuna
Title,Gaidin,Cieryl Arjuna
Nationality,Andoran,Dawlin Armaghn
Current status,Alive,Dawlin Armaghn
Gender,Male,Dawlin Armaghn
First mentioned,COT Prologue,Dawlin Armaghn
Last mentioned,COT Prologue,Dawlin Armaghn
Affiliation,House Marne,Dawlin Armaghn
Nationality,Altaran,Arnin
Current status,Alive,Arnin
Gender,Male,Arnin
Build,Muscular,Arnin
Hair,Black,Arnin
Eyes,Beady,Arnin
First appeared,ACOS 17,Arnin
Last appeared,ACOS 17,Arnin
Affiliation,Darkfriend,Arnin
Occupation,Thug,Arnin
Nationality,Unknown nationality,Arwin
Current status,Alive,Arwin
Gender,Male,Arwin
First appeared,LOC Prologue,Arwin
Last appeared,LOC Prologue,Arwin
Affiliation,Younglings,Arwin
Nationality,Tairen,Melanril Asegora
Date of death,999 NE,Melanril Asegora
Current status,Dead,Melanril Asegora
Gender,Male,Melanril Asegora
Eyes,Dark,Melanril Asegora
First appeared,TFOH 43,Melanril Asegora
Last appeared,TFOH 44,Melanril Asegora
Nationality,Cairhienin,Ashin
Current status,Alive,Ashin
Gender,Male,Ashin
First appeared,TGH 32,Ashin
Last appeared,TGH 32,Ashin
Occupation,Servant,Ashin
Nationality,Unknown nationality,Sana Ashraf
Current status,Dead,Sana Ashraf
Gender,Male,Sana Ashraf
First mentioned,AMOL 37,Sana Ashraf
Last mentioned,AMOL 37,Sana Ashraf
Date of birth,Age of Legends,Asmodean
Date of death,999 NE,Asmodean
Current status,Dead,Asmodean
Gender,Male,Asmodean
Height,Tall,Asmodean
Hair,Dark,Asmodean
Eyes,Dark,Asmodean
First mentioned,TSR 9,Asmodean
First appeared,TSR 36,Asmodean
Last appeared,TFOH 56,Asmodean
Last mentioned,AMOL 37,Asmodean
Rank,Chosen,Asmodean
Nationality,Unknown nationality,Rhadam Asunawa
Date of death,1000 NE,Rhadam Asunawa
Current status,Dead,Rhadam Asunawa
Gender,Male,Rhadam Asunawa
Build,Gaunt,Rhadam Asunawa
Hair,Gray,Rhadam Asunawa
Eyes,"Deep-set, Dark",Rhadam Asunawa
First mentioned,LOC 9,Rhadam Asunawa
First appeared,LOC 31,Rhadam Asunawa
Last appeared,TOM 2,Rhadam Asunawa
Affiliation,Hand of the Light,Rhadam Asunawa
Occupation,Inquisitor,Rhadam Asunawa
Rank,High Inquisitor,Rhadam Asunawa
Nationality,Andoran,Willim Avarhin
Current status,Dead,Willim Avarhin
Gender,Male,Willim Avarhin
First mentioned,WH 10,Willim Avarhin
Last mentioned,WH 10,Willim Avarhin
Title,Lord,Willim Avarhin
Nationality,Andoran,Avin
Current status,Alive,Avin
Gender,Male,Avin
First appeared,TEOTW 13,Avin
Last appeared,TEOTW 13,Avin
Occupation,Gatekeeper,Avin
Current status,Alive,Awlsten
Gender,Male,Awlsten
First appeared,AMOL 24,Awlsten
Last appeared,AMOL 24,Awlsten
Affiliation,Rand al'Thor,Awlsten
Occupation,Asha'man,Awlsten
Rank,Asha'man,Awlsten
Nationality,Andoran,Con Aybara
Date of death,999 NE,Con Aybara
Current status,Dead,Con Aybara
Gender,Male,Con Aybara
Weight,Slim,Con Aybara
First appeared,TEOTW Ravens,Con Aybara
Last appeared,TEOTW Ravens,Con Aybara
Last mentioned,AMOL 13,Con Aybara
Affiliation,Two Rivers,Con Aybara
Nationality,Andoran,Eward Aybara
Date of death,999 NE,Eward Aybara
Current status,Dead,Eward Aybara
Gender,Male,Eward Aybara
Build,Stout,Eward Aybara
First mentioned,TSR 29,Eward Aybara
Last mentioned,TSR 40,Eward Aybara
Affiliation,Two Rivers,Eward Aybara
Nationality,Andoran,Jaim Aybara
Current status,Alive,Jaim Aybara
Gender,Male,Jaim Aybara
Hair,"Dark, curly",Jaim Aybara
First appeared,TSR 53,Jaim Aybara
Last appeared,TSR 56,Jaim Aybara
Affiliation,Two Rivers,Jaim Aybara
Nationality,Andoran,Paetram Aybara
Date of birth,990 NE,Paetram Aybara
Date of death,999 NE,Paetram Aybara
Current status,Dead,Paetram Aybara
Gender,Male,Paetram Aybara
First appeared,TEOTW Ravens,Paetram Aybara
Last appeared,TEOTW Ravens,Paetram Aybara
Last mentioned,TSR 56,Paetram Aybara
Affiliation,Two Rivers,Paetram Aybara
Nationality,Andoran,Perrin Aybara
Date of birth,978 NE,Perrin Aybara
Current status,Alive,Perrin Aybara
Gender,Male,Perrin Aybara
Height,"6' 1½"", 187 cm",Perrin Aybara
Weight,"235-245 lbs, 106.6-111.1 kg",Perrin Aybara
Hair,Brown,Perrin Aybara
Eyes,"Yellow / Gold, previously Dark Brown",Perrin Aybara
First appeared,TEOTW Ravens,Perrin Aybara
Last appeared,AMOL Epilogue,Perrin Aybara
Affiliation,Wolfbrother,Perrin Aybara
Occupation,Blacksmith,Perrin Aybara
Title,Wolf King,Perrin Aybara
Rank,Lord of the Two Rivers,Perrin Aybara
Nationality,Andoran,Jared Aydaer
Date of death,999 NE,Jared Aydaer
Current status,Dead,Jared Aydaer
Gender,Male,Jared Aydaer
First appeared,TSR 40,Jared Aydaer
Last appeared,TSR 40,Jared Aydaer
Last mentioned,TSR 43,Jared Aydaer
Affiliation,Two Rivers,Jared Aydaer
Nationality,Andoran,Pel Aydaer
Current status,Alive,Pel Aydaer
Gender,Male,Pel Aydaer
Hair,Bald,Pel Aydaer
First mentioned,TEOTW 30,Pel Aydaer
First appeared,TSR 42,Pel Aydaer
Last appeared,LOC Prologue,Pel Aydaer
Last mentioned,TOM 6,Pel Aydaer
Affiliation,Perrin Aybara,Pel Aydaer
Occupation,Furniture maker,Pel Aydaer
Nationality,Andoran,Dav Ayellin
Current status,Alive,Dav Ayellin
Gender,Male,Dav Ayellin
Build,Stocky,Dav Ayellin
Eyes,Dark,Dav Ayellin
First mentioned,TEOTW Ravens,Dav Ayellin
First appeared,TSR 43,Dav Ayellin
Last appeared,TSR 56,Dav Ayellin
Last mentioned,LOC Prologue,Dav Ayellin
Affiliation,Two Rivers,Dav Ayellin
Nationality,Andoran,Jon Ayellin
Current status,Alive,Jon Ayellin
Gender,Male,Jon Ayellin
Build,Hulking,Jon Ayellin
Hair,Bald,Jon Ayellin
First appeared,LOC Prologue,Jon Ayellin
Last appeared,TOM 40,Jon Ayellin
Affiliation,Perrin Aybara,Jon Ayellin
Nationality,Andoran,Get Ayliah
Current status,Alive,Get Ayliah
Gender,Male,Get Ayliah
First appeared,WH 2,Get Ayliah
Last appeared,COT 25,Get Ayliah
Affiliation,Two Rivers,Get Ayliah
Occupation,Soldier,Get Ayliah
Nationality,Illianer,Azereos
Current status,Alive,Azereos
Gender,Male,Azereos
First appeared,WH 32,Azereos
Last appeared,WH 32,Azereos
Occupation,Merchant,Azereos
Nationality,Aiel,Bael
Current status,Alive,Bael
Gender,Male,Bael
Height,"6'10"" or 208 cm.",Bael
Weight,"275lbs, 19st 9lb, 124.7kg",Bael
Hair,"Red, graying",Bael
First mentioned,TSR 49,Bael
First appeared,TSR 57,Bael
Last appeared,AMOL 6,Bael
Last mentioned,AMOL 26,Bael
Affiliation,Car'a'carn,Bael
Occupation,Clan chief,Bael
Clan,Goshien,Bael
Nationality,Aiel,Baelder
Current status,Alive,Baelder
Gender,Male,Baelder
Clan,Unknown,Baelder
Sept,Unknown,Baelder
Society,Aethan Dor,Baelder
Nationality,Unknown nationality,Bakh
Date of death,1000 NE,Bakh
Current status,Dead,Bakh
Gender,Male,Bakh
First mentioned,AMOL 9,Bakh
Last mentioned,AMOL 9,Bakh
Nationality,Seanchan,Assid Bakuun
Current status,Unknown,Assid Bakuun
Gender,Male,Assid Bakuun
First appeared,TPOD 22,Assid Bakuun
Last appeared,TPOD 22,Assid Bakuun
Affiliation,Ever Victorious Army,Assid Bakuun
Occupation,Soldier,Assid Bakuun
Rank,Captain,Assid Bakuun
Nationality,Domani,Hafeen Bakuvun
Current status,Alive,Hafeen Bakuvun
Gender,Male,Hafeen Bakuvun
Height,Short,Hafeen Bakuvun
Build,Stout,Hafeen Bakuvun
Hair,"Gray, thinning",Hafeen Bakuvun
First appeared,KOD 16,Hafeen Bakuvun
Last appeared,KOD 35,Hafeen Bakuvun
Affiliation,House Trakand,Hafeen Bakuvun
Occupation,Mercenary,Hafeen Bakuvun
Rank,Captain,Hafeen Bakuvun
Nationality,Domani,Balat
Gender,Male,Balat
Build,Lean,Balat
First appeared,KOD 8,Balat
Last mentioned,KOD 11,Balat
Affiliation,Valan Luca,Balat
Occupation,Entertainer,Balat
Nationality,Kandori,Baldhere
Current status,Alive,Baldhere
Gender,Male,Baldhere
Build,Slender,Baldhere
Hair,White at temples,Baldhere
First appeared,TPOD Prologue,Baldhere
Last appeared,AMOL 28,Baldhere
Affiliation,Kandor,Baldhere
Title,Swordbearer,Baldhere
Rank,General,Baldhere
Nationality,Unknown nationality,Balinor
Current status,Dead,Balinor
Gender,Male,Balinor
First mentioned,LOC 11,Balinor
Last mentioned,LOC 11,Balinor
Affiliation,White Tower,Balinor
Occupation,Warder,Balinor
Title,Gaidin,Balinor
Date of birth,Age of Legends,Balthamel
Date of death,998 NE,Balthamel
Current status,Dead,Balthamel
Gender,Male,Balthamel
First mentioned,TEOTW 42,Balthamel
First appeared,TEOTW 50,Balthamel
Last appeared,TEOTW 50,Balthamel
Last mentioned,ACOS 8,Balthamel
Rank,Chosen,Balthamel
Nationality,Taraboner,Balthaz
Current status,Alive,Balthaz
Gender,Male,Balthaz
First mentioned,The Wheel of Time Roleplaying Game,Balthaz
Title,Lord,Balthaz
Nationality,Amadician,Sebban Balwer
Current status,Alive,Sebban Balwer
Gender,Male,Sebban Balwer
Height,Small,Sebban Balwer
Build,Small,Sebban Balwer
First appeared,LOC Prologue,Sebban Balwer
Last appeared,AMOL 1,Sebban Balwer
Affiliation,Perrin Aybara,Sebban Balwer
Occupation,Secretary,Sebban Balwer
Nationality,Ghealdanin,Banas
Current status,Alive,Banas
Gender,Male,Banas
First mentioned,TDR 8,Banas
Last mentioned,TDR 8,Banas
Nationality,Saldaean,Vilnar Barada
Current status,Alive,Vilnar Barada
Gender,Male,Vilnar Barada
First appeared,LOC 45,Vilnar Barada
Last appeared,LOC 45,Vilnar Barada
Affiliation,Davram Bashere,Vilnar Barada
Occupation,Soldier,Vilnar Barada
Rank,Under-lieutenant,Vilnar Barada
Nationality,Tairen,Baran
Date of death,999 NE,Baran
Current status,Dead,Baran
Gender,Male,Baran
First appeared,TSR 2,Baran
Last appeared,TSR 2,Baran
Last mentioned,TFOH 30,Baran
Title,Lord,Baran
Nationality,Domani,Barettal
Current status,Alive,Barettal
Gender,Male,Barettal
First appeared,TOM 21,Barettal
Last appeared,TOM 21,Barettal
Affiliation,Dragon Reborn,Barettal
Occupation,Soldier,Barettal
Nationality,Unknown nationality,Bari (entertainer)
Current status,Alive,Bari (entertainer)
Gender,Male,Bari (entertainer)
First appeared,TFOH 17,Bari (entertainer)
Last appeared,TFOH 48,Bari (entertainer)
Affiliation,Valan Luca,Bari (entertainer)
Occupation,Entertainer,Bari (entertainer)
Nationality,Andoran,Bari (servant)
Current status,Alive,Bari (servant)
Gender,Male,Bari (servant)
First appeared,LOC 19,Bari (servant)
Last appeared,LOC 20,Bari (servant)
Affiliation,Andor,Bari (servant)
Occupation,Servant,Bari (servant)
Nationality,Altaran,Baris
Current status,Alive,Baris
Gender,Male,Baris
First appeared,LOC 52,Baris
Last appeared,LOC 52,Baris
Last mentioned,LOC 52,Baris
Nationality,Murandian,Barlden
Current status,Alive,Barlden
Gender,Male,Barlden
Build,Sturdy,Barlden
Hair,Black,Barlden
First appeared,TGS 27,Barlden
Last appeared,TGS 28,Barlden
Affiliation,Hinderstap,Barlden
Occupation,Mayor,Barlden
Nationality,Unknown nationality,Barlett
Current status,Alive,Barlett
Gender,Male,Barlett
Build,Lean,Barlett
First appeared,TOM Prologue,Barlett
Last appeared,TOM Prologue,Barlett
Affiliation,Children of the Light,Barlett
Occupation,Soldier,Barlett
Rank,Scout leader,Barlett
Nationality,Cairhienin,Barmellin
Current status,Alive,Barmellin
Gender,Male,Barmellin
First appeared,WH 35,Barmellin
Last appeared,WH 35,Barmellin
Occupation,Farmer,Barmellin
Nationality,Atha'an Miere,Baroc
Date of death,1000 NE,Baroc
Current status,Dead,Baroc
Gender,Male,Baroc
Hair,"Balding, white",Baroc
Eyes,Deep set,Baroc
First appeared,ACOS 13,Baroc
Last appeared,ACOS 13,Baroc
Last mentioned,WH 16,Baroc
Affiliation,Atha'an Miere,Baroc
Rank,Master of the Blades,Baroc
Nationality,Andoran,Hu Barran
Current status,Alive,Hu Barran
Gender,Male,Hu Barran
Build,Lanky,Hu Barran
First mentioned,TEOTW 2,Hu Barran
First appeared,TEOTW 4,Hu Barran
Last appeared,TOM 10,Hu Barran
Affiliation,Perrin Aybara,Hu Barran
Occupation,Stableman,Hu Barran
Nationality,Andoran,Jondyn Barran
Current status,Alive,Jondyn Barran
Gender,Male,Jondyn Barran
First appeared,ACOS 1,Jondyn Barran
Last appeared,KOD 4,Jondyn Barran
Last mentioned,TOM 4,Jondyn Barran
Affiliation,Perrin Aybara,Jondyn Barran
Occupation,Soldier,Jondyn Barran
Nationality,Andoran,Tad Barran
Current status,Alive,Tad Barran
Gender,Male,Tad Barran
Build,Lanky,Tad Barran
First mentioned,TEOTW 2,Tad Barran
First appeared,TEOTW 4,Tad Barran
Last appeared,KOD 29,Tad Barran
Affiliation,Two Rivers,Tad Barran
Occupation,Stableman,Tad Barran
Nationality,Borderlander,Barriga
Date of death,1000 NE,Barriga
Current status,Dead,Barriga
Gender,Male,Barriga
First mentioned,TOM Prologue,Barriga
First appeared,TOM Epilogue,Barriga
Last appeared,TOM Epilogue,Barriga
Occupation,Merchant,Barriga
Nationality,Seanchan,Barrin
Current status,Alive,Barrin
Gender,Male,Barrin
First appeared,AMOL 15,Barrin
Last appeared,AMOL 15,Barrin
Occupation,Deathwatch Guard,Barrin
Nationality,Andoran,Torwyn Barshaw
Date of death,999 NE,Torwyn Barshaw
Current status,Dead,Torwyn Barshaw
Gender,Male,Torwyn Barshaw
Build,Squat,Torwyn Barshaw
First mentioned,LOC Prologue,Torwyn Barshaw
First appeared,LOC 31,Torwyn Barshaw
Last appeared,LOC 31,Torwyn Barshaw
Affiliation,Darkfriend,Torwyn Barshaw
Occupation,Merchant,Torwyn Barshaw
Nationality,Andoran,Flann Barstere
Current status,Alive,Flann Barstere
Gender,Male,Flann Barstere
Build,Lanky,Flann Barstere
First appeared,TPOD 9,Flann Barstere
Last appeared,TOM 34,Flann Barstere
Affiliation,Perrin Aybara,Flann Barstere
Occupation,Soldier,Flann Barstere
Nationality,Andoran,Jerinvar Barstere
Current status,Alive,Jerinvar Barstere
Gender,Male,Jerinvar Barstere
Hair,White,Jerinvar Barstere
First appeared,TSR 56,Jerinvar Barstere
Last appeared,TSR 56,Jerinvar Barstere
Affiliation,Two Rivers,Jerinvar Barstere
Nationality,Andoran,Kev Barstere
Current status,Alive,Kev Barstere
Gender,Male,Kev Barstere
First appeared,KOD 29,Kev Barstere
Last appeared,KOD 29,Kev Barstere
Affiliation,Two Rivers,Kev Barstere
Nationality,Andoran,Bartim
Current status,Alive,Bartim
Gender,Male,Bartim
Build,Fat,Bartim
Hair,Balding,Bartim
First appeared,TEOTW 26,Bartim
Last appeared,TEOTW 26,Bartim
Occupation,Innkeeper,Bartim
Nationality,Unknown nationality,Bartol
Current status,Alive,Bartol
Gender,Male,Bartol
First mentioned,LOC 52,Bartol
First appeared,COT 23,Bartol
Last appeared,COT 23,Bartol
Affiliation,White Tower,Bartol
Occupation,Warder,Bartol
Title,Gaidin,Bartol
Nationality,Shienaran,Bartu
Date of death,1000 NE,Bartu
Current status,Dead,Bartu
Gender,Male,Bartu
Height,"5'9""",Bartu
Hair,Shaven bald,Bartu
First mentioned,TFOH 38,Bartu
First appeared,COT 7,Bartu
Last appeared,COT 7,Bartu
Affiliation,Masema Dagar,Bartu
Nationality,Andoran,Lir Baryn
Current status,Alive,Lir Baryn
Gender,Male,Lir Baryn
Build,Slender,Lir Baryn
First appeared,TFOH 19,Lir Baryn
Last appeared,AMOL 2,Lir Baryn
Affiliation,House Trakand,Lir Baryn
Title,Lord,Lir Baryn
Rank,High Seat,Lir Baryn
Nationality,Unknown nationality,Basan
Current status,Dead,Basan
Gender,Male,Basan
First mentioned,LOC 43,Basan
Last mentioned,LOC 43,Basan
Affiliation,White Tower,Basan
Occupation,Warder,Basan
Title,Gaidin,Basan
Nationality,Cairhienin,Latian Basar
Current status,Alive,Latian Basar
